.mw-parser-output .hidden-begin{box-sizing:border-box;width:100%;padding:5px;border:none;font-size:95%}.mw-parser-output .hidden-title{font-weight:bold;line-height:1.6;text-align:left}.mw-parser-output .hidden-content{text-align:left}Country or territory (Territories without full sovereignty in italics) [a],Total length of land borders,Total length of land borders,No. of distinct land borders,No. of distinct land neighbours,Land border neighbours and border length (Territories without full sovereignty in italics) [a] (#) = No. of distinct land boundaries with that country or territory
.mw-parser-output .hidden-begin{box-sizing:border-box;width:100%;padding:5px;border:none;font-size:95%}.mw-parser-output .hidden-title{font-weight:bold;line-height:1.6;text-align:left}.mw-parser-output .hidden-content{text-align:left}Country or territory (Territories without full sovereignty in italics) [a],km[b],mi,No. of distinct land borders,No. of distinct land neighbours,Land border neighbours and border length (Territories without full sovereignty in italics) [a] (#) = No. of distinct land boundaries with that country or territory
"France, Metropolitan",2889.0,1795,10,8,Andorra: 56.6 km (35.2 mi)  Belgium: 620 km (390 mi)  Germany: 451 km (280 mi)  Italy: 488 km (303 mi)  Luxembourg: 73 km (45 mi)  Monaco: 4.4 km (2.7 mi)  Spain (3):[w] 623 km (387 mi)  Switzerland: 573 km (356 mi)
"France (including French overseas departments, collectivities, and territories) →includes: → Clipperton Island → French Guiana → French Polynesia → French Southern and Antarctic Lands[x] → Guadeloupe → Martinique → Mayotte → Metropolitan France → New Caledonia → Réunion → Saint Barthélemy → Saint Martin → Saint Pierre and Miquelon → Wallis and Futuna",4082.0,2536,13,11,Andorra: 56.6 km (35.2 mi)  Belgium: 620 km (390 mi)  Brazil:[y] 673 km (418 mi)  Germany: 451 km (280 mi)  Italy: 488 km (303 mi)  Luxembourg: 73 km (45 mi)  Monaco: 4.4 km (2.7 mi)  Sint Maarten[z][aa] (Netherlands): 10.2 km (6.3 mi)  Spain (3):[w] 623 km (387 mi)  Suriname:[y] 510 km (320 mi)  Switzerland: 573 km (356 mi)
Gabon,2551.0,1585,3,3,"Cameroon: 298 km (185 mi)  Republic of the Congo: 1,903 km (1,182 mi)  Equatorial Guinea: 350 km (220 mi)"
The Gambia,740.0,460,1,1,Senegal: 740 km (460 mi)
Georgia,1461.0,908,6,4,Armenia: 164 km (102 mi)  Azerbaijan: 322 km (200 mi)  Russia: 723 km (449 mi)  Turkey: 252 km (157 mi)  Abkhazia: 141 km (88 mi)  South Ossetia: 334 km (208 mi)
Germany,3621.0,2250,15,9,Austria: 784 km (487 mi)  Belgium (6):[l] 167 km (104 mi)  Czech Republic: 815 km (506 mi)[2]  Denmark: 68 km (42 mi)  France: 451 km (280 mi)  Luxembourg: 138 km (86 mi)  Netherlands: 577 km (359 mi)  Poland: 456 km (283 mi)  Switzerland (2):[ab] 334 km (208 mi)
Ghana,2094.0,1301,3,3,Burkina Faso: 549 km (341 mi)  Côte d'Ivoire: 668 km (415 mi)  Togo: 877 km (545 mi)
Greece,1228.0,763,4,4,Albania: 282 km (175 mi)  Bulgaria: 494 km (307 mi)  Turkey: 206 km (128 mi)  North Macedonia: 246 km (153 mi)
Grenada,0.0,0,0,0,
Guatemala,1687.0,1048,4,4,Belize: 266 km (165 mi)  El Salvador: 203 km (126 mi)  Honduras: 256 km (159 mi)  Mexico: 962 km (598 mi)
Guinea,3399.0,2112,6,6,Côte d'Ivoire: 610 km (380 mi)  Guinea-Bissau: 386 km (240 mi)  Liberia: 563 km (350 mi)  Mali: 858 km (533 mi)  Senegal: 330 km (210 mi)  Sierra Leone: 652 km (405 mi)
Guinea-Bissau,724.0,450,2,2,Guinea: 386 km (240 mi)  Senegal: 338 km (210 mi)
Guyana,2462.0,1530,3,3,"Brazil: 1,119 km (695 mi)  Suriname: 600 km (370 mi)  Venezuela: 743 km (462 mi)"
Haiti,360.0,220,1,1,Dominican Republic: 360 km (220 mi)
Honduras,1520.0,940,3,3,Guatemala: 256 km (159 mi)  El Salvador: 342 km (213 mi)  Nicaragua: 922 km (573 mi)
Hong Kong[ac],30.0,19,1,1,People's Republic of China: 30 km (19 mi)
Hungary,2171.0,1349,7,7,Austria: 366 km (227 mi)  Croatia: 329 km (204 mi)  Romania: 443 km (275 mi)  Serbia: 151 km (94 mi)  Slovakia: 677 km (421 mi)  Slovenia: 102 km (63 mi)  Ukraine: 103 km (64 mi)
Iceland,0.0,0,0,0,
India,14209.0,8829,10,7,"Bangladesh (2): 4,053 km (2,518 mi)  Bhutan: 605 km (376 mi)  People's Republic of China (3): 3,380 km (2,100 mi)  Myanmar: 1,463 km (909 mi)  Nepal: 1,690 km (1,050 mi)  Pakistan: 2,912 km (1,809 mi)  Sri Lanka: 0.045 km (0.028 mi) on a land shoal on Ram Setu,[3] see also Borders of India."
Indonesia,2830.0,1760,4,3,"East Timor (2): 228 km (142 mi)  Malaysia: 1,782 km (1,107 mi)  Papua New Guinea: 820 km (510 mi)"
Iran,5440.0,3380,8,7,"Afghanistan: 936 km (582 mi)  Armenia: 35 km (22 mi)  Azerbaijan (2):[h] 432 km (268 mi)  Iraq: 1,458 km (906 mi)  Pakistan: 909 km (565 mi)  Turkey: 499 km (310 mi)  Turkmenistan: 992 km (616 mi)"
